Date,Open,High,Low,Close,Volume,Ticker
737426,71.62709199861638,72.68128882574726,71.37321819790198,72.62084197998047,135480400,AAPL
737427,71.84711001739942,72.67643886208242,71.6899497146884,71.91481018066406,146322800,AAPL
737430,71.03470938256737,72.52653323692198,70.78324846628296,72.48784637451172,118387200,AAPL
737431,72.49753708995398,72.75383115765004,71.92692233659784,72.1469497680664,108872000,AAPL
737432,71.8495328881936,73.60974457641883,71.8495328881936,73.30751037597656,132079200,AAPL
737433,74.28675624192712,75.058058615668,74.0353026659935,74.86463165283203,170108400,AAPL
737434,75.09915419080262,75.59965578823589,74.5309524288927,75.03386688232422,140644800,AAPL
737437,75.35062150930146,76.66352519200935,75.23214067732687,76.63692474365234,121532000,AAPL
737438,76.57407908177844,76.78443295716991,75.4787823612356,75.60208892822266,161954400,AAPL
737439,75.40139008732662,76.28391248020361,74.84527472915032,75.278076171875,121923600,AAPL
737440,75.82211395087957,76.33228922922538,75.45943283140988,76.22106170654297,108829200,AAPL
737441,76.47007821096346,77.06729322689777,76.16301095015437,77.06488037109375,137816400,AAPL
737445,76.69253240808335,77.1350000250309,76.40480486276103,76.5426254272461,110843200,AAPL
737446,77.02863894018,77.36956011404764,76.7215715495235,76.81587219238281,101832400,AAPL
737447,76.86904252755714,77.26556997023165,76.3201804851689,77.18578338623047,104472000,AAPL
737448,77.43240886934917,78.17711075717362,76.77232666197627,76.96334075927734,146537600,AAPL
737451,74.96857569534384,75.38202994564323,73.71611915121242,74.7001953125,161940000,AAPL
737452,75.58272644118536,76.9850901077203,75.48359274307904,76.81342315673828,162234000,AAPL
737453,78.44791850299463,79.2699941203994,77.70562947444549,78.42131805419922,216229200,AAPL
737454,77.50252948730524,78.36087174184341,77.06972800749904,78.30767822265625,126743200,AAPL
737455,77.59680909150437,78.01993693561123,74.54062095731271,74.83560180664062,199588400,AAPL
737458,73.57590710330668,75.79793402750128,73.07299252901737,74.6301040649414,173788400,AAPL
737459,76.2379657074683,77.28490902345662,75.83176474651968,77.0938949584961,136616400,AAPL
737460,78.22305902038404,78.5228804217208,77.11809618158854,77.72256469726562,118826800,AAPL
737461,77.99335327455661,78.63408832571153,77.43482504328904,78.63166809082031,105425600,AAPL
737462,78.12999061671879,78.3796223944295,77.070873196759,77.5628662109375,117684000,AAPL
737465,76.1450504217699,77.9312515258789,76.06507446922856,77.9312515258789,109348800,AAPL
737466,78.42808578763751,78.500791189116,77.24293596960018,77.4610595703125,94323200,AAPL
737467,77.91184313382713,79.30541981693399,77.91184313382713,79.30057525634766,113730400,AAPL
737468,78.57107415792922,79.06306707389666,78.36749164748854,78.73587799072266,94747600,AAPL
737469,78.70437073623225,79.00490364230242,78.24631193166864,78.7552719116211,80113600,AAPL
737473,76.43102645153198,77.49499569716498,76.24925554684746,77.31322479248047,152531200,AAPL
737474,77.5555836361956,78.66317609010646,77.5555836361956,78.43292999267578,93984000,AAPL
737475,78.19299399872004,78.68256095291854,77.12175425598554,77.62828826904297,100566000,AAPL
737476,77.22113145649439,77.66465663516524,75.2531595150605,75.87117767333984,129554000,AAPL
737479,72.04429714392029,73.7214326099496,70.09813688315359,72.26726531982422,222195200,AAPL
737480,72.93859916229857,73.32152656752166,69.34680474475954,69.81940460205078,230673600,AAPL
737481,69.4437526290761,72.19455366055257,69.43648208910632,70.927001953125,198054800,AAPL
