Price,Close,High,Low,Open,Volume
Ticker,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK
2020-05-26,28.34224510192871,28.727853878825698,28.149440713480214,28.34224510192871,47875500
2020-05-27,28.14944076538086,28.342245154184837,27.763831987772903,28.14944076538086,39041200
2020-05-28,27.378225326538086,28.34224734507816,27.378225326538086,28.149442941370143,74678900
2020-05-29,27.378225326538086,27.5710297302461,26.992616519122056,27.378225326538086,92200800
2020-06-01,27.76383399963379,28.149442805184258,27.571029596858555,27.571029596858555,57097800
2020-06-02,28.535049438476562,28.535049438476562,27.57102749798749,27.95663627418312,53305400
2020-06-04,29.30626678466797,29.499071171409206,28.72785362444426,29.113462397926735,112629200
2020-06-05,30.463096618652344,31.23431425456759,28.920661346821845,29.30627016477947,172777600
2020-06-08,31.42711639404297,32.0055295792094,31.04150760393201,31.23431199898749,120902300
2020-06-09,30.077486038208008,31.23431242429293,29.884681640527187,31.04150802661211,116567300
2020-06-10,30.270288467407227,30.46309285254995,29.691875311979064,30.46309285254995,66057000
2020-06-11,29.691871643066406,30.270284727022247,29.30626292042918,30.077480365703632,55341900
2020-06-12,28.727853775024414,29.113462550528094,28.34224499952073,28.727853775024414,93979600
2020-06-15,28.14944076538086,28.727853931792794,27.763831987772903,28.342245154184837,74051700
2020-06-16,29.30626678466797,29.691875558150443,28.72785362444426,29.113462397926735,78565000
2020-06-17,29.30626678466797,29.306266784667972,28.535049237703024,28.9206580111855,77566900
2020-06-18,29.113462448120117,29.30626683519376,28.535049286899188,28.72785367397283,34172200
2020-06-19,29.499069213867188,29.499069213867188,28.920656092026654,29.306264839920342,48335300
2020-06-22,29.691871643066406,29.691871643066406,29.11345855911057,29.30626292042918,43698000
2020-06-23,29.88468360900879,29.88468360900879,29.499074788247388,29.88468360900879,27061200
2020-06-24,28.920658111572266,30.077484436035157,28.727853724161786,30.077484436035157,45653000
2020-06-25,28.727853775024414,28.727853775024414,27.956636224017046,28.535049387272572,50161000
2020-06-26,28.535049438476562,29.306266990867822,28.535049438476562,29.113462602770007,32050100
2020-06-29,28.727853775024414,28.920658162776252,28.14944061176889,28.14944061176889,35798700
2020-06-30,29.113462448120117,29.499071222267403,28.920658061046474,29.113462448120117,48960900
2020-07-01,29.691871643066406,29.691871643066406,28.920654197791954,29.30626292042918,51477700
2020-07-02,30.077486038208008,30.65589923125047,29.499072845165546,29.691877242846367,85892400
2020-07-03,30.270288467407227,30.65589723769267,29.884679697121786,30.270288467407227,45900700
2020-07-07,31.04151153564453,31.619924794072688,30.655902696692422,30.655902696692422,98297800
2020-07-08,30.463096618652344,31.23431425456759,30.07748780069472,30.84870543660997,75150800
2020-07-09,30.270288467407227,30.65589723769267,30.077484082264505,30.46309285254995,52227100
2020-07-10,29.499069213867188,30.07748233570772,29.306264839920342,29.884677961760875,51049000
2020-07-13,28.920658111572266,29.884680048624677,28.920658111572266,29.691875661214194,51480300
2020-07-14,29.30626678466797,29.306266784667972,28.535049237703024,28.72785362444426,33133600
2020-07-15,29.88468360900879,30.07748801938949,29.306270377866685,29.499074788247388,44600300
2020-07-16,29.499069213867188,29.884677961760875,29.113460465973496,29.884677961760875,37275700
2020-07-17,29.88468360900879,30.07748801938949,29.306270377866685,29.691879198628087,27833900
2020-07-20,29.691871643066406,30.077480365703632,29.499067281747795,29.691871643066406,25566500
2020-07-21,31.04151153564453,31.234315955120582,30.077489438264266,30.077489438264266,65615400
2020-07-22,30.463096618652344,31.427118663546402,30.07748780069472,31.041509845588777,65462200
2020-07-23,30.65589714050293,30.848701525034397,30.077483986908536,30.463092755971466,36524100
2020-07-24,29.691871643066406,30.270284727022247,29.691871643066406,30.077480365703632,42731400
2020-07-29,29.691871643066406,29.88467600438502,29.499067281747795,29.691871643066406,29212400
2020-07-30,29.30626678466797,30.077484331632917,29.306266784667972,29.691875558150443,37445600
2020-07-31,30.077486038208008,30.27029043588883,28.72785525444226,29.499072845165546,75399200
2020-08-03,29.691871643066406,30.077480365703632,29.499067281747795,30.077480365703632,35058600
2020-08-04,29.30626678466797,30.077484331632917,29.306266784667972,29.88467994489168,60854500
2020-08-05,30.077486038208008,30.27029043588883,29.306268447484726,29.499072845165546,61561600
2020-08-06,29.88468360900879,30.463096840150897,29.691879198628087,29.88468360900879,34953700
2020-08-07,29.499069213867188,29.884677961760875,29.113460465973496,29.69187358781403,59234200
2020-08-10,29.113462448120117,29.691875609341047,29.113462448120117,29.499071222267403,23190400
2020-08-11,28.920658111572266,29.691875661214194,28.920658111572266,29.30626688639323,61644200
2020-08-13,29.499069213867188,29.884677961760875,29.113460465973496,29.113460465973496,61045300
2020-08-14,29.113462448120117,29.691875609341047,28.920658061046474,29.499071222267403,38129200
2020-08-17,29.30626678466797,29.499071171409206,29.113462397926735,29.306266784667972,20152300
2020-08-18,29.30626678466797,29.499071171409206,29.113462397926735,29.306266784667972,31995400
2020-08-19,28.727853775024414,29.49907132603178,28.727853775024414,29.49907132603178,55437600
2020-08-20,27.956636428833008,28.72785398549047,27.956636428833008,28.535049596326104,49667200
2020-08-21,28.14944076538086,28.535049542988816,27.95663637657688,28.342245154184837,35237700
2020-08-24,28.34224510192871,28.727853878825698,27.95663632503172,28.149440713480214,40119000
2020-08-25,28.727853775024414,29.113462550528094,28.535049387272572,28.535049387272572,40673600
2020-08-26,28.535049438476562,28.92065821467219,28.342245050378747,28.72785382657438,32468600
2020-08-27,28.727853775024414,29.306266938279936,28.535049387272572,28.727853775024414,66120700
2020-08-28,28.34224510192871,29.11346265572269,28.149440713480214,28.920658267274195,60845600
2020-08-31,27.76383399963379,28.72785601350996,27.76383399963379,28.342247207959492,58945200
2020-09-01,27.956636428833008,28.149440817997373,27.763832039668642,27.956636428833008,32744800
2020-09-02,28.14944076538086,28.14944076538086,27.763831987772903,27.95663637657688,31752700
2020-09-03,27.76383399963379,28.149442805184258,27.76383399963379,27.956638402409023,33798000
2020-09-08,26.99261474609375,27.57102791922433,26.99261474609375,27.378223528180804,38232100
2020-09-09,27.185420989990234,27.37822539417456,26.028594564884266,26.41420337325292,52814100
2020-09-10,27.185420989990234,27.57102979835889,26.992616585805905,27.185420989990234,33592600
2020-09-11,26.99261474609375,27.378223528180804,26.99261474609375,26.99261474609375,22348300
2020-09-14,26.99261474609375,27.378223528180804,26.99261474609375,27.185419137137277,30045200
2020-09-15,27.185420989990234,27.37822539417456,26.60700777743725,26.992616585805905,45036600
2020-09-16,27.185420989990234,27.37822539417456,26.992616585805905,27.185420989990234,37845700
2020-09-17,27.571025848388672,27.571025848388672,26.992612718702198,27.185417095264356,32618600
2020-09-18,27.185420989990234,27.57102979835889,26.992616585805905,27.57102979835889,56531100
2020-09-21,26.99261474609375,27.378223528180804,26.799810355050223,27.185419137137277,30099100
2020-09-22,26.414201736450195,26.79981052092392,26.221397344213333,26.607006128687058,53563000
2020-09-23,25.835790634155273,26.60700826502558,25.835790634155273,26.60700826502558,53308400
2020-09-24,25.064571380615234,25.835788961557242,25.064571380615234,25.450180171086238,65105400
2020-09-25,25.064571380615234,25.450180171086238,24.871766985379733,25.064571380615234,43553600
2020-09-28,25.835790634155273,25.835790634155273,25.064573003284966,25.257377411002544,43085800
2020-09-29,25.64298439025879,25.83578878417051,25.450179996347067,25.83578878417051,34346000
2020-09-30,24.813291549682617,25.782560750842094,24.813291549682617,25.5887069106102,55633600
2020-10-01,25.58870506286621,25.782558889100045,24.81328975793087,25.20099741039854,35311400
2020-10-02,25.00714111328125,25.58870253452035,24.619433499121854,25.39484872744065,46626700
2020-10-05,25.00714111328125,25.39484872744065,24.813287306201552,25.20099492036095,33832700
2020-10-06,25.58870506286621,25.782558889100045,25.20099741039854,25.394851236632377,67785500
2020-10-07,25.58870506286621,25.58870506286621,25.007143584164705,25.394851236632377,43231700
2020-10-08,25.58870506286621,26.170266541567717,25.394851236632377,25.58870506286621,55614500
2020-10-09,25.782560348510742,25.976414185717587,25.394852674097045,25.782560348510742,38909600
2020-10-12,26.55797576904297,26.75182960677321,25.588706580391765,25.782560418122006,78586500
